gender,first_name,year,N,pct
Filles,Abygaelle,2020-12-31,44,-0.38028169014084506
Filles,Abygaelle,2021-12-31,45,0.022727272727272728
Filles,Abygaelle,2022-12-31,29,-0.35555555555555557
Filles,Abygaelle,2023-12-31,32,0.10344827586206896
Filles,Abygail,2013-12-31,18,NA
Filles,Abygail,2014-12-31,13,-0.2777777777777778
Filles,Abygail,2015-12-31,13,0
Garçons,Achille,2017-12-31,12,NA
Garçons,Achraf,2005-12-31,13,NA
Filles,Adaline,2016-12-31,25,NA
Filles,Adaline,2017-12-31,32,0.28
Filles,Adaline,2018-12-31,52,0.625
Filles,Adaline,2019-12-31,48,-0.07692307692307693
Filles,Adaline,2020-12-31,40,-0.16666666666666666
Filles,Adaline,2021-12-31,50,0.25
Filles,Adaline,2022-12-31,39,-0.22
Filles,Adaline,2023-12-31,43,0.10256410256410256
Garçons,Adam,1980-12-31,96,NA
Garçons,Adam,1981-12-31,105,0.09375
Garçons,Adam,1982-12-31,98,-0.06666666666666667
Garçons,Adam,1983-12-31,149,0.5204081632653061
Garçons,Adam,1984-12-31,124,-0.16778523489932887
Garçons,Adam,1985-12-31,126,0.016129032258064516
Garçons,Adam,1986-12-31,113,-0.10317460317460317
Garçons,Adam,1987-12-31,122,0.07964601769911504
Garçons,Adam,1988-12-31,115,-0.05737704918032787
Garçons,Adam,1989-12-31,126,0.09565217391304348
Garçons,Adam,1990-12-31,106,-0.15873015873015872
Garçons,Adam,1991-12-31,112,0.05660377358490566
Garçons,Adam,1992-12-31,101,-0.09821428571428571
Garçons,Adam,1993-12-31,76,-0.24752475247524752
Garçons,Adam,1994-12-31,102,0.34210526315789475
Garçons,Adam,1995-12-31,105,0.029411764705882353
Garçons,Adam,1996-12-31,106,0.009523809523809525
Garçons,Adam,1997-12-31,151,0.42452830188679247
Garçons,Adam,1998-12-31,124,-0.17880794701986755
Garçons,Adam,1999-12-31,128,0.03225806451612903
Garçons,Adam,2000-12-31,139,0.0859375
Garçons,Adam,2001-12-31,169,0.2158273381294964
Garçons,Adam,2002-12-31,187,0.10650887573964497
Garçons,Adam,2003-12-31,239,0.27807486631016043
Garçons,Adam,2004-12-31,272,0.13807531380753138
Garçons,Adam,2005-12-31,307,0.12867647058823528
Garçons,Adam,2006-12-31,333,0.08469055374592833
Garçons,Adam,2007-12-31,376,0.12912912912912913
Garçons,Adam,2008-12-31,446,0.18617021276595744
Garçons,Adam,2009-12-31,415,-0.06950672645739911
Garçons,Adam,2010-12-31,402,-0.03132530120481928
Garçons,Adam,2011-12-31,391,-0.02736318407960199
Garçons,Adam,2012-12-31,495,0.2659846547314578
Garçons,Adam,2013-12-31,465,-0.06060606060606061
Garçons,Adam,2014-12-31,443,-0.047311827956989246
Garçons,Adam,2015-12-31,459,0.03611738148984198
Garçons,Adam,2016-12-31,460,0.002178649237472767
Garçons,Adam,2017-12-31,422,-0.08260869565217391
Garçons,Adam,2018-12-31,423,0.002369668246445498
Garçons,Adam,2019-12-31,421,-0.004728132387706856
Garçons,Adam,2020-12-31,327,-0.22327790973871733
Garçons,Adam,2021-12-31,349,0.0672782874617737
Garçons,Adam,2022-12-31,384,0.10028653295128939
Garçons,Adam,2023-12-31,318,-0.171875
Garçons,Adamo,2003-12-31,12,NA
Garçons,Adamo,2009-12-31,12,0
Garçons,Adamo,2018-12-31,15,0.25
Garçons,Adamo,2020-12-31,14,-0.06666666666666667
Filles,Addison,2008-12-31,12,NA
Filles,Addison,2009-12-31,12,0
Garçons,Adel,2000-12-31,13,NA
Garçons,Adel,2006-12-31,12,-0.07692307692307693
Garçons,Adel,2009-12-31,14,0.16666666666666666
Garçons,Adel,2011-12-31,14,0
Filles,Adelaide,2016-12-31,13,NA
Filles,Adelaide,2017-12-31,13,0
Filles,Adelaide,2019-12-31,17,0.3076923076923077
Filles,Adelaide,2020-12-31,18,0.058823529411764705
Filles,Adelaide,2021-12-31,20,0.1111111111111111
Filles,Adelaide,2022-12-31,15,-0.25
Filles,Adelaide,2023-12-31,13,-0.13333333333333333
Filles,Adele,1993-12-31,14,NA
Filles,Adele,1994-12-31,19,0.35714285714285715
Filles,Adele,1995-12-31,17,-0.10526315789473684
Filles,Adele,1996-12-31,15,-0.11764705882352941
Filles,Adele,1997-12-31,15,0
Filles,Adele,1999-12-31,16,0.06666666666666667
Filles,Adele,2000-12-31,19,0.1875
Filles,Adele,2001-12-31,27,0.42105263157894735
Filles,Adele,2002-12-31,23,-0.14814814814814814
Filles,Adele,2003-12-31,42,0.8260869565217391
Filles,Adele,2004-12-31,41,-0.023809523809523808
Filles,Adele,2005-12-31,36,-0.12195121951219512
Filles,Adele,2006-12-31,67,0.8611111111111112
Filles,Adele,2007-12-31,51,-0.23880597014925373
Filles,Adele,2008-12-31,73,0.43137254901960786
Filles,Adele,2009-12-31,79,0.0821917808219178
Filles,Adele,2010-12-31,60,-0.24050632911392406
Filles,Adele,2011-12-31,101,0.6833333333333333
Filles,Adele,2012-12-31,133,0.31683168316831684
Filles,Adele,2013-12-31,138,0.03759398496240601
Filles,Adele,2014-12-31,175,0.26811594202898553
Filles,Adele,2015-12-31,173,-0.011428571428571429
Filles,Adele,2016-12-31,142,-0.1791907514450867
Filles,Adele,2017-12-31,155,0.09154929577464789
Filles,Adele,2018-12-31,150,-0.03225806451612903
Filles,Adele,2019-12-31,156,0.04
Filles,Adele,2020-12-31,162,0.038461538461538464
Filles,Adele,2021-12-31,165,0.018518518518518517
Filles,Adele,2022-12-31,160,-0.030303030303030304
Filles,Adele,2023-12-31,180,0.125
Filles,Adelia,2017-12-31,12,NA
Filles,Adelia,2018-12-31,12,0
Filles,Adelia,2019-12-31,15,0.25
Filles,Adelia,2020-12-31,15,0
Filles,Adelia,2021-12-31,26,0.7333333333333333
Filles,Adelia,2022-12-31,19,-0.2692307692307692
Filles,Adelia,2023-12-31,15,-0.21052631578947367
Filles,Adelie,2008-12-31,16,NA
Filles,Adelie,2012-12-31,16,0
Filles,Adelie,2014-12-31,20,0.25
Filles,Adelie,2015-12-31,18,-0.1
Filles,Adelie,2016-12-31,23,0.2777777777777778
Filles,Adelie,2017-12-31,23,0
Filles,Adelie,2018-12-31,34,0.4782608695652174
Filles,Adelie,2019-12-31,37,0.08823529411764706
Filles,Adelie,2020-12-31,36,-0.02702702702702703
Filles,Adelie,2021-12-31,52,0.4444444444444444
Filles,Adelie,2022-12-31,38,-0.2692307692307692
Filles,Adelie,2023-12-31,41,0.07894736842105263
Filles,Adeline,2015-12-31,17,NA
Filles,Adeline,2016-12-31,16,-0.058823529411764705
Filles,Adeline,2017-12-31,28,0.75
Filles,Adeline,2018-12-31,29,0.03571428571428571
Filles,Adeline,2019-12-31,30,0.034482758620689655
Filles,Adeline,2020-12-31,23,-0.23333333333333334
Filles,Adeline,2021-12-31,29,0.2608695652173913
Filles,Adeline,2022-12-31,32,0.10344827586206896
Filles,Adeline,2023-12-31,20,-0.375
Garçons,Adem,2006-12-31,20,NA
Garçons,Adem,2007-12-31,15,-0.25
Garçons,Adem,2008-12-31,20,0.3333333333333333
Garçons,Adem,2009-12-31,27,0.35
Garçons,Adem,2010-12-31,25,-0.07407407407407407
Garçons,Adem,2011-12-31,25,0
Garçons,Adem,2012-12-31,34,0.36
Garçons,Adem,2013-12-31,20,-0.4117647058823529
Garçons,Adem,2014-12-31,24,0.2
Garçons,Adem,2015-12-31,20,-0.16666666666666666
Garçons,Adem,2016-12-31,21,0.05
Garçons,Adem,2017-12-31,24,0.14285714285714285
Garçons,Adem,2018-12-31,22,-0.08333333333333333
Garçons,Adem,2019-12-31,19,-0.13636363636363635
Garçons,Adem,2020-12-31,19,0
Garçons,Adem,2022-12-31,16,-0.15789473684210525
Garçons,Adrian,1980-12-31,15,NA
Garçons,Adrian,1981-12-31,15,0
Garçons,Adrian,1982-12-31,14,-0.06666666666666667
Garçons,Adrian,1983-12-31,15,0.07142857142857142
Garçons,Adrian,1984-12-31,20,0.3333333333333333
Garçons,Adrian,1985-12-31,13,-0.35
Garçons,Adrian,1986-12-31,19,0.46153846153846156
Garçons,Adrian,1987-12-31,17,-0.10526315789473684
Garçons,Adrian,1988-12-31,14,-0.17647058823529413
Garçons,Adrian,1989-12-31,15,0.07142857142857142
Garçons,Adrian,1990-12-31,23,0.5333333333333333
Garçons,Adrian,1991-12-31,18,-0.21739130434782608
Garçons,Adrian,1992-12-31,13,-0.2777777777777778
Garçons,Adrian,1993-12-31,18,0.38461538461538464
Garçons,Adrian,1994-12-31,13,-0.2777777777777778
Garçons,Adrian,1995-12-31,24,0.8461538461538461
Garçons,Adrian,1997-12-31,14,-0.4166666666666667
Garçons,Adrian,1998-12-31,14,0
Garçons,Adrian,1999-12-31,13,-0.07142857142857142
Garçons,Adrian,2000-12-31,21,0.6153846153846154
Garçons,Adrian,2001-12-31,25,0.19047619047619047
Garçons,Adrian,2002-12-31,17,-0.32
Garçons,Adrian,2003-12-31,15,-0.11764705882352941
Garçons,Adrian,2004-12-31,22,0.4666666666666667
Garçons,Adrian,2005-12-31,31,0.4090909090909091
Garçons,Adrian,2006-12-31,27,-0.12903225806451613
Garçons,Adrian,2007-12-31,28,0.037037037037037035
Garçons,Adrian,2008-12-31,30,0.07142857142857142
Garçons,Adrian,2009-12-31,27,-0.1
Garçons,Adrian,2010-12-31,37,0.37037037037037035
Garçons,Adrian,2011-12-31,36,-0.02702702702702703
Garçons,Adrian,2012-12-31,28,-0.2222222222222222
Garçons,Adrian,2013-12-31,25,-0.10714285714285714
Garçons,Adrian,2014-12-31,36,0.44
Garçons,Adrian,2015-12-31,40,0.1111111111111111
Garçons,Adrian,2016-12-31,40,0
Garçons,Adrian,2017-12-31,36,-0.1
Garçons,Adrian,2018-12-31,52,0.4444444444444444
Garçons,Adrian,2019-12-31,32,-0.38461538461538464
Garçons,Adrian,2020-12-31,40,0.25
Garçons,Adrian,2021-12-31,50,0.25
Garçons,Adrian,2022-12-31,29,-0.42
Garçons,Adrian,2023-12-31,28,-0.034482758620689655
Filles,Adriana,1981-12-31,12,NA
Filles,Adriana,1984-12-31,16,0.3333333333333333
Filles,Adriana,1989-12-31,17,0.0625
Filles,Adriana,1991-12-31,14,-0.17647058823529413
Filles,Adriana,1992-12-31,13,-0.07142857142857142
Filles,Adriana,1993-12-31,17,0.3076923076923077
Filles,Adriana,1994-12-31,17,0
Filles,Adriana,1995-12-31,25,0.47058823529411764
Filles,Adriana,1996-12-31,12,-0.52
Filles,Adriana,1997-12-31,26,1.1666666666666667
Filles,Adriana,1998-12-31,13,-0.5
Filles,Adriana,2000-12-31,14,0.07692307692307693
Filles,Adriana,2001-12-31,17,0.21428571428571427
